iid,gender,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,like_o,prob_o,met_o,dec,attr,sinc,intel,fun,amb,like,prob,met
4,0,3,1,11,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,6,3,2,0,4,10,8,5,8,6,7,2
4,0,2,2,12,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,6,3,1,0,8,7,8,10,7,8,1,1
4,0,4,4,14,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,8,10,1,1,8,10,7,10,7,8,10,1
4,0,6,5,15,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,7,2,0,6,9,8,9,8,7,7,2
4,0,5,6,16,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,6,6,2,0,5,10,8,4,8,4,3,2
4,0,10,7,17,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,6,4,2,0,7,10,10,7,10,5,1,2
4,0,1,8,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,7,7,2,0,5,9,9,5,9,6,6,2
4,0,7,9,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,8,8,2,1,9,8,10,10,7,8,8,2
4,0,8,10,20,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,2,1,8,9,10,10,8,10,8,2
5,0,1,1,11,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,5,2,0,5,8,8,2,2,7,5,2
5,0,10,2,12,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,7,4,1,0,8,6,6,5,5,6,4,1
5,0,7,3,13,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,1,0,4,6,8,8,6,6,5,1
5,0,2,4,14,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,7,7,1,1,8,5,5,7,7,8,2,1
5,0,4,5,15,0,-0.16,0,24,3,30,10,20,10,10,20,0,5,9,9,7,9,5,7,2,0,6,7,7,5,4,7,4,2
5,0,3,6,16,0,0.06,1,25,2,50,0,30,10,0,10,0,5,8,7,7,7,6,7,2,1,5,6,7,5,7,7,3,2
5,0,8,7,17,0,-0.05,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,2,1,6,6,8,5,5,6,3,2
5,0,9,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,6,5,2,1,5,5,7,6,7,6,4,2
5,0,5,9,19,1,-0.13,1,28,2,50,0,25,10,0,15,1,5,9,9,9,9,7,7,2,1,7,5,7,8,7,9,4,2
5,0,6,10,20,0,-0.06,1,24,2,100,0,0,0,0,0,0,3,10,7,7,10,4,10,2,1,9,6,7,9,6,10,3,2
6,0,5,1,11,0,0.33,0,27,2,35,20,20,20,0,5,0,7,9,8,9,8,7,4,2,1,6,9,7,6,7,6,6,2
6,0,4,2,12,0,0.37,0,22,2,60,0,0,40,0,0,0,6,8,10,6,7,7,4,2,1,6,9,9,6,8,7,6,2
6,0,1,3,13,0,-0.51,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,1,0,4,7,9,4,3,6,2,1
6,0,6,4,14,1,0.12,0,23,2,30,5,15,40,5,5,1,6,8,8,7,9,7,7,2,1,8,6,7,8,2,9,4,2
6,0,8,5,15,0,0.35,0,24,3,30,10,20,10,10,20,1,9,7,9,7,9,9,2,1,0,5,4,8,8,4,4,3,1
6,0,7,6,16,0,0.19,0,25,2,50,0,30,10,0,10,1,6,6,8,8,8,6,6,2,0,3,7,6,1,1,2,2,2
6,0,2,7,17,0,0.47,0,30,2,35,15,25,10,5,10,0,5,6,8,4,5,3,3,2,1,8,8,8,8,3,8,7,2
